,quantity,price_usd,weight_lb,plu_code,product,date,city
0,166,0.9254180982359685,10.191642609378324,3302,Apricot,an 23,San Francisco
1,359,2.95896743175108,4.730071387905628,3302,Apricot,an 23,San Francisco
2,258,0.8096384857315571,5.321977505227551,3302,Apricot,an 23,San Francisco
3,474,2.4070662793354134,18.169424366392196,3302,Apricot,an 23,San Francisco
4,184,2.4182933464297096,12.31081160590984,3302,Apricot,an 23,San Francisco
5,188,0.6131900989683345,7.07962743821554,4011,Banana,an 23,San Francisco
6,359,3.045973859447986,20.330269697587937,4011,Banana,an 23,San Francisco
7,112,2.152810297859833,10.161776633607225,4011,Banana,an 23,San Francisco
8,285,0.651070927339606,12.32890619612299,4011,Banana,an 23,San Francisco
9,130,0.5890526689589024,5.981645441101865,4011,Banana,an 23,San Francisco
10,415,1.3669894106686116,2.420394164323807,4011,Banana,an 23,San Francisco
11,325,2.4912791025824848,4.53565339865163,4011,Banana,an 23,San Francisco
12,340,1.5475098887225613,4.3255938942078505,4011,Banana,an 23,San Francisco
13,171,2.100695549347438,9.457646299758927,4011,Banana,an 23,San Francisco
14,431,2.3932389441877606,13.086351771280171,4011,Banana,an 23,San Francisco
15,428,2.666116312448867,14.190582848107443,4011,Banana,an 23,San Francisco
16,475,2.741092625318561,7.594384261919186,4011,Banana,an 23,San Francisco
17,431,3.0279476911644454,15.176578059932218,4011,Banana,an 23,San Francisco
18,208,3.1697065798914994,12.170628797402607,4012,Orange,an 23,San Francisco
19,266,0.8624993831152097,15.745580990193414,4012,Orange,an 23,San Francisco
20,424,3.053237771801651,15.209434287203477,4012,Orange,an 23,San Francisco
21,191,2.5088847955456006,8.257580183586107,4012,Orange,an 23,San Francisco
22,212,0.6210754712345079,3.587754760263488,4012,Orange,an 23,San Francisco
23,311,1.6964383612037637,10.511052745301278,4012,Orange,an 23,San Francisco
24,370,1.8443932142225095,7.619390174280853,4012,Orange,an 23,San Francisco
25,311,1.8621987469494343,17.38468964258209,4030,Kiwi,an 23,San Francisco
26,456,1.65283428337425,20.06467757006176,4030,Kiwi,an 23,San Francisco
27,341,2.445551765279379,10.541100495215506,4030,Kiwi,an 23,San Francisco
28,227,1.9520313990185971,20.409718874376267,4030,Kiwi,an 23,San Francisco
29,348,1.7970672106719576,20.226897863391788,4030,Kiwi,an 23,San Francisco
30,352,2.389883073465899,20.29176394562237,4030,Kiwi,an 23,San Francisco
31,355,1.2692788981483318,14.117038827715442,4030,Kiwi,an 23,San Francisco
32,310,1.3639961124397815,6.190570841776208,4062,Cucumber,an 23,San Francisco
33,162,2.032189772592392,4.240000414848328,4062,Cucumber,an 23,San Francisco
34,382,0.6789653111016378,5.708510267501698,4062,Cucumber,an 23,San Francisco
35,278,1.8198873998597265,10.138864613696933,4062,Cucumber,an 23,San Francisco
36,130,1.3189971407526173,17.969775642920286,4062,Cucumber,an 23,San Francisco
37,152,2.820824529230595,17.1925806643907,4062,Cucumber,an 23,San Francisco
38,298,1.0101556273992174,10.93483859919943,4062,Cucumber,an 23,San Francisco
39,461,1.0962575383135118,19.2641681145411,4062,Cucumber,an 23,San Francisco
40,313,1.910403580358252,17.817643537931147,4062,Cucumber,an 23,San Francisco
41,280,1.8737428469583393,4.899054758111015,4078,Corn,an 23,San Francisco
42,424,2.4226870974642227,16.317847072891894,4078,Corn,an 23,San Francisco
43,459,2.1292434014729227,15.816802307683975,4078,Corn,an 23,San Francisco
44,500,2.700469738582615,16.096584325050937,4078,Corn,an 23,San Francisco
45,326,3.1962234797654676,10.15249536940828,4078,Corn,an 23,San Francisco
46,445,2.4259395904489796,16.612312388792635,4078,Corn,an 23,San Francisco
47,148,1.3035801686462947,19.268524120049552,4078,Corn,an 23,San Francisco
48,414,1.7491085761692375,9.728850131155923,4081,Eggplant,an 23,San Francisco
49,365,1.9126158719998785,6.874303272366524,4081,Eggplant,an 23,San Francisco
50,217,2.8628257162170487,21.207221970893443,4081,Eggplant,an 23,San Francisco
51,397,1.121112468955107,10.371246121218428,4081,Eggplant,an 23,San Francisco
52,243,3.1011283908272165,16.14385762065649,4081,Eggplant,an 23,San Francisco
53,311,0.7367024290841073,19.590830213576556,4081,Eggplant,an 23,San Francisco
54,397,2.6679930880898612,7.363366194162518,4081,Eggplant,an 23,San Francisco
55,138,0.8410668493714184,9.774728634068744,4081,Eggplant,an 23,San Francisco
56,245,2.6948091185302476,16.631855561723935,4081,Eggplant,an 23,San Francisco
57,264,3.06064326253254,6.261206351406873,4081,Eggplant,an 23,San Francisco
58,120,1.2089458673261106,2.32660047672689,4081,Eggplant,an 23,San Francisco
59,433,1.936976110050455,12.942356477165596,4081,Eggplant,an 23,San Francisco
60,468,1.069203648029361,11.358511414751412,4131,Apple (Fuji),an 23,San Francisco
