MS_SubClass,MS_Zoning,Lot_Area,Alley,Neighborhood,Bldg_Type,Overall_Qual,Year_Built,Roof_Style,Roof_Matl,Mas_Vnr_Type,1st_Flr_SF,2nd_Flr_SF,Garage_Area,Paved_Drive,SalePrice,total_sq
2-STORY 1946 & NEWER,Resi Low Density,13517,True,Sawyer,1Fam,Above Avg,1976,Gable,CompShg,BrkFace,725,754,475.0,Paved,130500,1954.0
2-STORY 1946 & NEWER,Resi Low Density,11492,True,SawyerW,1Fam,Good,1996,Gable,CompShg,BrkFace,913,1209,559.0,Paved,220000,2681.0
1-STORY 1946 & NEWER,Resi Low Density,7922,True,NAmes,1Fam,Average,1953,Gable,CompShg,None,1057,0,246.0,Paved,109000,1303.0
2-STORY 1946 & NEWER,Resi Low Density,9802,True,Timber,1Fam,Average,2006,Gable,CompShg,None,744,700,400.0,Paved,174000,1844.0
1-1/2 STORY FINISHED,Resi Low Density,14235,True,SawyerW,1Fam,Above Avg,1900,Gable,CompShg,None,831,614,484.0,Dirt/Gravel,138500,1929.0
1-STORY 1946 & NEWER,Resi Low Density,16492,True,NAmes,1Fam,Above Avg,1966,Gable,CompShg,None,1888,0,578.0,Paved,190000,2466.0
MULTILEVEL,Resi Med Density,3675,True,Edwards,TwnhsE,Above Avg,2005,Gable,CompShg,BrkFace,1072,0,525.0,Paved,140000,1597.0
1-STORY 1946 & NEWER,Resi Low Density,12160,True,NAmes,1Fam,Average,1959,Hip,CompShg,BrkFace,1188,0,531.0,Paved,142000,1719.0
1-STORY 1946 & NEWER,Resi Low Density,15783,True,OldTown,1Fam,Average,1952,Gable,CompShg,None,924,0,420.0,Paved,112500,1344.0
2-STORY 1946 & NEWER,Resi Low Density,11606,True,NAmes,1Fam,Average,1969,Gable,CompShg,BrkFace,1040,1040,504.0,Paved,135000,2584.0
2ST PUD - 1946 & NEWER,Resi Med Density,1680,True,BrDale,Twnhs,Above Avg,1971,Gable,CompShg,BrkFace,483,504,264.0,Paved,85400,1251.0
1-STORY 1946 & NEWER,Resi Low Density,7488,True,CollgCr,1Fam,Good,2005,Gable,CompShg,None,1208,0,632.0,Paved,183600,1840.0
2-STORY 1945 & OLDER,Resi Low Density,26400,True,SawyerW,1Fam,Average,1880,Gable,CompShg,None,1288,728,576.0,Partial Paved,131000,2592.0
2ST PUD - 1946 & NEWER,Floating Village,2645,False,Somerst,Twnhs,Very good,1999,Gable,CompShg,BrkFace,962,645,480.0,Paved,200000,2087.0
1-STORY 1946 & NEWER,Resi Low Density,9627,True,CollgCr,1Fam,Good,2007,Gable,CompShg,None,1361,0,610.0,Paved,193000,1971.0
1-STORY 1946 & NEWER,Resi Low Density,10114,True,Mitchel,1Fam,Average,2004,Gable,CompShg,None,1430,0,624.0,Paved,173500,2054.0
2-STORY 1945 & OLDER,Resi Med Density,4571,False,OldTown,1Fam,Average,1916,Gable,CompShg,None,624,720,513.0,Paved,98000,1857.0
1-STORY 1946 & NEWER,Resi Low Density,8816,True,Sawyer,1Fam,Average,1963,Gable,CompShg,None,1121,0,480.0,Paved,139000,1601.0
1-STORY 1946 & NEWER,Resi Low Density,8197,True,Sawyer,1Fam,Above Avg,1977,Gable,CompShg,BrkFace,1285,0,528.0,Paved,143500,1813.0
2-STORY 1946 & NEWER,Floating Village,8640,True,Somerst,1Fam,Good,2009,Gable,CompShg,None,764,783,614.0,Paved,215200,2161.0
1-STORY 1946 & NEWER,Resi Low Density,8724,True,Sawyer,1Fam,Average,1968,Gable,CompShg,None,894,0,450.0,Paved,129000,1344.0
1-STPUD-1946 & NEWER,Resi Low Density,5664,True,StoneBr,TwnhsE,Very good,2000,Gable,CompShg,None,1659,0,499.0,Paved,278000,2158.0
2-STORY 1946 & NEWER,Resi Low Density,12867,True,NridgHt,1Fam,Very good,2005,Gable,CompShg,0,1209,1044,575.0,Paved,344133,2828.0
1-STORY 1946 & NEWER,Resi Low Density,7980,True,Gilbert,1Fam,Above Avg,1992,Gable,CompShg,None,1187,0,420.0,Paved,185000,1607.0
2 FAMILY CONVERSION,Resi Low Density,34650,True,Gilbert,2fmCon,Average,1955,Hip,CompShg,None,1056,0,572.0,Paved,145000,1628.0
1-STORY 1946 & NEWER,Resi Low Density,10573,True,NAmes,1Fam,Above Avg,1961,Hip,CompShg,BrkFace,1453,0,530.0,Paved,187500,1983.0
1-STORY 1946 & NEWER,Resi Low Density,8450,True,Sawyer,1Fam,Average,1965,Gable,CompShg,None,894,0,336.0,Paved,138500,1230.0
1-1/2 STORY FINISHED,Resi Low Density,11700,False,Crawfor,1Fam,Average,1937,Gable,CompShg,None,1265,673,240.0,Paved,198000,2178.0
2 FAMILY CONVERSION,Commercial,8250,True,IDOTRR,2fmCon,Average,1895,Gable,CompShg,None,1034,957,0.0,Dirt/Gravel,119600,1991.0
1-1/2 STORY FINISHED,Resi Low Density,8064,True,NAmes,1Fam,Average,1949,Gable,CompShg,None,672,252,576.0,Paved,122900,1500.0
1-STORY 1946 & NEWER,Resi Low Density,9600,True,NWAmes,1Fam,Very good,1981,Hip,WdShngl,None,2524,0,542.0,Paved,278000,3066.0
2-STORY 1945 & OLDER,Resi Low Density,11435,True,Crawfor,1Fam,Very good,1929,Gable,CompShg,None,792,725,400.0,Paved,230000,1917.0
