,MS_SubClass,MS_Zoning,Lot_Area,Neighborhood,Bldg_Type,1st_Flr_SF,2nd_Flr_SF,SalePrice
0,60,RL,9.511703431483827,Sawyer,1Fam,6.586171654854675,6.625392368007956,11.779128505744886
1,60,RL,9.34940642009918,SawyerW,1Fam,6.816735880594968,7.097548850614793,12.301382825334498
2,20,RL,8.977398978181862,NAmes,1Fam,6.963189985870238,-inf,11.59910316121128
3,60,RL,9.190341725469493,Timber,1Fam,6.612041034833092,6.551080335043404,12.066810578196666
4,50,RL,9.563458999712138,SawyerW,1Fam,6.7226297948554485,6.419994928147142,11.83862560460953
5,20,RL,9.71063069382679,NAmes,1Fam,7.543273346705446,-inf,12.154779351142624
6,180,RM,8.209308411646937,Edwards,TwnhsE,6.977281341630747,-inf,11.84939770159144
7,20,RL,9.405907155520158,NAmes,1Fam,7.080026499922591,-inf,11.863582336583399
8,20,RL,9.666688690398917,OldTown,1Fam,6.828712071641684,-inf,11.630708500626612
9,60,RL,9.359277484750553,NAmes,1Fam,6.946975992135418,6.946975992135418,11.813030057420567
10,160,RM,7.426549072397305,BrDale,Twnhs,6.180016653652572,6.222576268071369,11.355101379776661
11,20,RL,8.921057018157429,CollgCr,1Fam,7.0967213784947605,-inf,12.120514757168527
12,70,RL,10.181119289134408,SawyerW,1Fam,7.160845906664299,6.590301048196686,11.782952602183288
13,160,FV,7.8804263442924,Somerst,Twnhs,6.8690144506657065,6.4692503167957724,12.206072645530174
14,20,RL,9.172326929777967,CollgCr,1Fam,7.215975002651466,-inf,12.170445467887022
15,20,RL,9.221675881639928,Mitchel,1Fam,7.265429723253953,-inf,12.063932878369052
16,70,RM,8.427487278331744,OldTown,1Fam,6.436150368369428,6.579251212010101,11.49272275765271
17,20,RL,9.084323531392696,Sawyer,1Fam,7.02197642307216,-inf,11.842229212112828
18,20,RL,9.011523512653032,Sawyer,1Fam,7.158513997329321,-inf,11.874090314181814
19,60,FV,9.064157861798101,Somerst,1Fam,6.638567789166521,6.663132695990803,12.279323107269766
20,20,RL,9.07383312732152,Sawyer,1Fam,6.795705775173514,-inf,11.76756768334381
21,120,RL,8.641885635373555,StoneBr,TwnhsE,7.413970290190444,-inf,12.535376392672774
22,60,RL,9.46242117318499,NridgHt,1Fam,7.097548850614793,6.950814768442584,12.748783489541202
23,20,RL,8.984693690443855,Gilbert,1Fam,7.079184394609668,-inf,12.128111104060462
24,190,RL,10.453053004618049,Gilbert,2fmCon,6.962243464266207,-inf,11.884489021402711
25,20,RL,9.266058860732526,NAmes,1Fam,7.2813856635702825,-inf,12.141534124392603
26,20,RL,9.041921720351219,Sawyer,1Fam,6.795705775173514,-inf,11.83862560460953
27,50,RL,9.367344120785848,Crawfor,1Fam,7.142827401161621,6.511745329644728,12.196022309676673
28,190,C (all),9.017968479328726,IDOTRR,2fmCon,6.9411900550683745,6.863803391452954,11.691908120498669
